,DigitalStrategy,BMI_Reconstruction,MarketSignalDisclosure,SalesGrowth_w_t1,ROA_AvgAssets_w_t1,OperatingMargin_w_t1,CAR_0_p2_w,FirmSize_w,Leverage_w,ROA_AvgAssets_w,SalesGrowth_w,Liquidity_w,OperatingMargin_w,FirmAgeLog_w,LossDummy,NegativeEquityDummy,LogTotalSentences,AssetTurnover_w,CurrentAssetRatio_w,EmployeeLog_w,LargestHolderGroupOwnership_w,RAndDIntensityReported_w,OutsideDirectorRatio_w
SalesGrowth_w,0.0474860893734288,0.041263234895457176,0.04676131438935684,0.038613483693324936,0.05841099986561068,0.015614879749339393,0.0004983914789907938,0.022055857778929842,0.027326734859819315,0.13291222833753452,1.0,-0.02475914211463588,0.05071892068480832,-0.10162042830559716,-0.10185414416256368,-0.0700225916325613,0.029486969657258014,0.12013054584317545,0.057053173531877555,-0.011160920676996632,-0.019356238818748896,0.03852395539901774,-0.02786308800358378
Liquidity_w,0.06870982002187623,0.05629338696631341,0.06753504474364082,0.03452003653092308,0.006835923167628902,-0.15201715758959194,-0.008421502611375677,-0.24238884895794888,-0.6035316537089805,0.07038938126455514,-0.02475914211463588,1.0,-0.1340035350849798,-0.1433537910113212,-0.05253397915239418,-0.04477032501407612,-0.18459412099119588,-0.2385717311410453,0.39796429738852157,-0.24205167859803928,-0.0009763592428793513,0.21363979263321267,-0.09291471503501557
OperatingMargin_w,-0.08278312386402918,-0.0679807772487935,-0.08410870675150275,-0.20954122717794862,0.4553009997487909,0.8258523196974299,-0.0017425470478387847,0.2126975661962209,-0.01862273049590623,0.5391847651968048,0.05071892068480832,-0.1340035350849798,1.0,0.10935127508517106,-0.3516325353755516,-0.10570062061836481,-0.028195039183358694,0.2715757511487939,-0.03623298145751544,0.2164583875619342,0.18435417109578583,-0.392662869110685,0.04963485665996579
FirmAgeLog_w,-0.15684904071982272,-0.1301448237585297,-0.1559661313024317,-0.09903820146383038,0.08275074811345916,0.1092522700922097,0.015294542357783698,0.23208930909995726,0.07923564943231562,0.08481976364893938,-0.10162042830559716,-0.1433537910113212,0.10935127508517106,1.0,-0.06360705764576438,-0.0018793030970344726,0.1253007178122488,0.09495148124986451,-0.13939421246864436,0.18039649827470286,0.08369504235336762,-0.1945333631846345,0.11292920076126702
LossDummy,0.06233993217756971,0.057096484323408074,0.06416185186142236,0.06027183690622877,-0.4709008490120414,-0.310360853230347,0.022825191016050288,-0.2535580749155411,0.21645716695264158,-0.6894801548963829,-0.10185414416256368,-0.05253397915239418,-0.3516325353755516,-0.06360705764576438,1.0,0.08505971063779336,0.027666863539181574,-0.24834730580808087,-0.07058540663723316,-0.25964894916008124,-0.24525965036000036,0.21242114257186576,-0.05678853965809858
NegativeEquityDummy,0.004651633190692311,0.0040258747554922855,0.005038749431554633,-0.0413274359520043,-0.05982111669917373,-0.09014867287392728,-0.006481742300625577,-0.06481545591631944,0.15537922691808545,-0.2020990656150816,-0.0700225916325613,-0.04477032501407612,-0.10570062061836481,-0.0018793030970344726,0.08505971063779336,1.0,0.0029918975716849935,-0.04941057688629858,-0.005677233167188085,-0.07208818611035649,-0.06690122971287009,0.005955832527583348,0.006811620545456881
LogTotalSentences,0.10555983680807449,0.1023632253729885,0.1103645277181601,0.009327793311976331,-0.021647998364406583,-0.030733619332323953,-0.0012436146917825185,0.5939677140285826,0.2546026714169356,-0.019434779112253296,0.029486969657258014,-0.18459412099119588,-0.028195039183358694,0.1253007178122488,0.027666863539181574,0.0029918975716849935,1.0,-0.007720939526912965,-0.11033280270534362,0.3825670245818414,0.012257212286275894,-0.01608883077799066,0.2753675051465479
AssetTurnover_w,-0.04395433672733536,-0.02918744886792958,-0.045149778780937,-0.14185772464641794,0.23522379037468774,0.24066989702898406,-0.00021919227147632555,0.12331235706012314,0.21644695179213944,0.2770306404030915,0.12013054584317545,-0.2385717311410453,0.2715757511487939,0.09495148124986451,-0.24834730580808087,-0.04941057688629858,-0.007720939526912965,1.0,0.25595066395874155,0.26987231238945325,0.13836599951484857,-0.3124753388534911,0.08673641636176667
CurrentAssetRatio_w,0.1451548618221966,0.11778343720853726,0.14477071001504788,0.02197989860511567,0.036661986353541315,-0.047925155606676546,-0.013566848738990627,-0.2559564824471316,-0.21709726213827552,0.06941926284025791,0.057053173531877555,0.39796429738852157,-0.03623298145751544,-0.13939421246864436,-0.07058540663723316,-0.005677233167188085,-0.11033280270534362,0.25595066395874155,1.0,-0.1345220056464831,-0.05494618060311061,0.0881639514184525,-0.05007447023995849
EmployeeLog_w,-0.024259812741161554,-0.011818643491271357,-0.022618885159048266,-0.05532546633386448,0.2543569096275406,0.20586331112137382,-0.03543114035888217,0.6866645388700496,0.20931076920263517,0.2838539320773767,-0.011160920676996632,-0.24205167859803928,0.2164583875619342,0.18039649827470286,-0.25964894916008124,-0.07208818611035649,0.3825670245818414,0.26987231238945325,-0.1345220056464831,1.0,0.1592590998381776,-0.17990188181971162,0.26736526950814865
LargestHolderGroupOwnership_w,-0.04269832161662392,-0.0194802339334271,-0.04426550188026169,-0.021745952312800933,0.2683620995257133,0.1761961277344128,-0.0039041489363070996,0.20298474766924043,-0.07529920393233568,0.28246396118724454,-0.019356238818748896,-0.0009763592428793513,0.18435417109578583,0.08369504235336762,-0.24525965036000036,-0.06690122971287009,0.012257212286275894,0.13836599951484857,-0.05494618060311061,0.1592590998381776,1.0,-0.1928964001995969,0.10805010750387133
RAndDIntensityReported_w,0.15511440823786987,0.10812453527650336,0.1548520021516044,0.11709392738075006,-0.20425400510317188,-0.35685295261276767,-0.015109584089146562,-0.21867584218625777,-0.13508546252903536,-0.23955286692483022,0.03852395539901774,0.21363979263321267,-0.392662869110685,-0.1945333631846345,0.21242114257186576,0.005955832527583348,-0.01608883077799066,-0.3124753388534911,0.0881639514184525,-0.17990188181971162,-0.1928964001995969,1.0,-0.10773088209178898
OutsideDirectorRatio_w,-0.05417923451830863,-0.03349540534623511,-0.053898099451288206,-0.02899814609006371,0.048224973835448284,0.04934200842283193,-0.0021931558115612895,0.3449764106583359,0.08474736271253751,0.05599940370369381,-0.02786308800358378,-0.09291471503501557,0.04963485665996579,0.11292920076126702,-0.05678853965809858,0.006811620545456881,0.2753675051465479,0.08673641636176667,-0.05007447023995849,0.26736526950814865,0.10805010750387133,-0.10773088209178898,1.0
